suite,T,D,h,sign,B,K,stress,method,n,execution_regret_mean,execution_regret_se,audits_mean,audits_se,total_regret_mean,total_regret_se,final_scale_mean,final_scale_se
budget,8192,0.2,0.1,1,8192,2,0.0,Audit-all UCB,256,73.08268229166507,1.038612089216716,8192.0,0.0,1711.482682291665,1.0386120892167157,0.6002168655395508,0.0005446373657403682
spread,8192,0.0,0.1,-1,0,2,0.0,SC-UCB,256,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
spread,8192,0.0,0.1,-1,0,2,0.0,Oracle-scale UCB,256,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000001,6.952486265422992e-18
spread,8192,0.0,0.1,-1,0,2,0.0,Naive proxy UCB,256,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
spread,8192,0.0,0.1,-1,0,2,0.0,Rank-only UCB,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spread,8192,0.0,0.1,-1,0,2,0.0,Audit-only ETC,256,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
spread,8192,0.0,0.1,-1,0,2,0.0,Audit-all UCB,256,0.0,0.0,8192.0,0.0,1638.4000000000003,1.4238691871586287e-14,0.39985084533691406,0.0006496385873276852
spread,8192,0.0,0.1,1,0,2,0.0,SC-UCB,256,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
spread,8192,0.0,0.1,1,0,2,0.0,Oracle-scale UCB,256,0.0,0.0,0.0,0.0,0.0,0.0,0.5999999999999999,1.3904972530845984e-17
spread,8192,0.0,0.1,1,0,2,0.0,Naive proxy UCB,256,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
spread,8192,0.0,0.1,1,0,2,0.0,Rank-only UCB,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spread,8192,0.0,0.1,1,0,2,0.0,Audit-only ETC,256,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
spread,8192,0.0,0.1,1,0,2,0.0,Audit-all UCB,256,0.0,0.0,8192.0,0.0,1638.4000000000003,1.4238691871586287e-14,0.6002168655395508,0.0005446373657403682
spread,8192,0.0125,0.1,-1,64,2,0.0,SC-UCB,256,12.481213378906961,0.14612007752469805,64.0,0.0,25.281213378906962,0.14612007752469805,0.3912353515625,0.006508772399305524
spread,8192,0.0125,0.1,-1,64,2,0.0,Oracle-scale UCB,256,12.495617675781967,0.15182522834884402,0.0,0.0,12.495617675781967,0.15182522834884402,0.4000000000000001,6.952486265422992e-18
spread,8192,0.0125,0.1,-1,64,2,0.0,Naive proxy UCB,256,13.924633789063535,0.15054967183803217,0.0,0.0,13.924633789063535,0.15054967183803217,1.0,0.0
spread,8192,0.0125,0.1,-1,64,2,0.0,Rank-only UCB,256,11.392700195312983,0.14864591936779534,0.0,0.0,11.392700195312983,0.14864591936779534,0.0,0.0
spread,8192,0.0125,0.1,-1,64,2,0.0,Audit-only ETC,256,12.403125000001776,0.7949164223780755,64.0,0.0,25.20312500000177,0.7949164223780754,0.3912353515625,0.006508772399305524
